DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Mitchell Robinson,1629011,Knicks
Orlando Robinson,1631115,
Glenn Robinson III,203922,
Jeremiah Robinson-Earl,1630526,
Isaiah Roby,1629676,Thunder
David Roddy,1631223,
Ryan Rollins,1631157,
Rajon Rondo,200765,Clippers
Derrick Rose,201565,Knicks
Terrence Ross,203082,Magic
Terry Rozier,1626179,Hornets
Ricky Rubio,201937,Timberwolves
D'Angelo Russell,1626156,Timberwolves
Matt Ryan,1630346,
Domantas Sabonis,1627734,Pacers
Luka Samanic,1629677,Spurs
JaKarr Sampson,203960,Pacers
Dario Saric,203967,Suns
Olivier Sarr,1630846,
Tomas Satoransky,203107,Bulls
Jordan Schakel,1630648,
Admiral Schofield,1629678,
Dennis Schroder,203471,Lakers
Mike Scott,203118,76ers
Trevon Scott,1630286,
Jay Scrubb,1630206,Clippers
Dereon Seabron,1631220,
Wayne Selden,1627782,
Alperen Sengun,1630578,
Collin Sexton,1629012,Cavaliers
Landry Shamet,1629013,Nets
Day'Ron Sharpe,1630549,
Shaedon Sharpe,1631101,
Iman Shumpert,202697,
Pascal Siakam,1627783,Raptors
Chris Silva,1629735,
Ben Simmons,1627732,76ers
Marko Simonovic,1630250,
Anfernee Simons,1629014,Trail Blazers
Zavier Simpson,1630285,
Jaylen Sims,1631301,
Jericho Sims,1630579,
Deividas Sirvydis,1629686,Pistons
Alen Smailagic,1629346,Warriors
Javonte Smart,1630606,
Marcus Smart,203935,Celtics
Dru Smith,1630696,
Ish Smith,202397,Wizards
Jalen Smith,1630188,Suns
Dennis Smith Jr.,1628372,Pistons
Jabari Smith Jr.,1631095,
Xavier Sneed,1630270,
Tony Snell,203503,Hawks
Jeremy Sochan,1631110,
Ray Spalding,1629034,
Pat Spencer,1630311,
Jaden Springer,1630531,
Cassius Stanley,1630199,Pacers
Nik Stauskas,203917,
Lance Stephenson,202362,
Lamar Stevens,1630205,Cavaliers
DJ Stewart,1630597,
Isaiah Stewart,1630191,Pistons
Max Strus,1629622,Heat
Jalen Suggs,1630591,
Edmond Sumner,1628410,Pacers
Cole Swider,1631306,
Craig Sword,1628591,
Keifer Sykes,1626208,
Jae'Sean Tate,1630256,Rockets
Jayson Tatum,1628369,Celtics
Terry Taylor,1630678,
Jeff Teague,201952,Bucks
Garrett Temple,202066,Bulls
Dalen Terry,1631207,
Emanuel Terry,1629150,
Tyrell Terry,1630179,Mavericks
Jon Teske,1630257,
Daniel Theis,1628464,Bulls
Brodric Thomas,1630271,Cavaliers
Cam Thomas,1630560,
Isaiah Thomas,202738,
Khyri Thomas,1629017,Rockets
Matt Thomas,1629744,Jazz
Klay Thompson,202691,Warriors
Tristan Thompson,202684,Celtics
JT Thor,1630550,
Sindarius Thornwell,1628414,Magic
Matisse Thybulle,1629680,76ers
Killian Tillie,1629681,Grizzlies
