athlete_id,athlete_headshot_href
2760,https://a.espncdn.com/i/headshots/nba/players/full/2760.png
2813,NA
2794,https://a.espncdn.com/i/headshots/nba/players/full/2794.png
2781,NA
2817,https://a.espncdn.com/i/headshots/nba/players/full/2817.png
2777,NA
2800,NA
2795,https://a.espncdn.com/i/headshots/nba/players/full/2795.png
2768,https://a.espncdn.com/i/headshots/nba/players/full/2768.png
2750,https://a.espncdn.com/i/headshots/nba/players/full/2750.png
2751,https://a.espncdn.com/i/headshots/nba/players/full/2751.png
2816,https://a.espncdn.com/i/headshots/nba/players/full/2816.png
2798,https://a.espncdn.com/i/headshots/nba/players/full/2798.png
2778,https://a.espncdn.com/i/headshots/nba/players/full/2778.png
2755,https://a.espncdn.com/i/headshots/nba/players/full/2755.png
2747,https://a.espncdn.com/i/headshots/nba/players/full/2747.png
1016,https://a.espncdn.com/i/headshots/nba/players/full/1016.png
2771,NA
2807,https://a.espncdn.com/i/headshots/nba/players/full/2807.png
2748,https://a.espncdn.com/i/headshots/nba/players/full/2748.png
383,NA
2811,NA
2749,NA
2801,https://a.espncdn.com/i/headshots/nba/players/full/2801.png
2886,NA
2438,NA
2765,NA
2754,https://a.espncdn.com/i/headshots/nba/players/full/2754.png
2786,NA
2796,NA
2744,NA
2486,NA
2793,https://a.espncdn.com/i/headshots/nba/players/full/2793.png
2788,NA
2863,NA
2866,https://a.espncdn.com/i/headshots/nba/players/full/2866.png
1772,NA
2787,NA
2839,https://a.espncdn.com/i/headshots/nba/players/full/2839.png
2830,NA
2814,NA
2808,NA
3026,https://a.espncdn.com/i/headshots/nba/players/full/3026.png
3047,NA
3023,https://a.espncdn.com/i/headshots/nba/players/full/3023.png
2984,https://a.espncdn.com/i/headshots/nba/players/full/2984.png
3036,NA
2827,https://a.espncdn.com/i/headshots/nba/players/full/2827.png
3032,https://a.espncdn.com/i/headshots/nba/players/full/3032.png
3028,https://a.espncdn.com/i/headshots/nba/players/full/3028.png
2981,NA
2990,https://a.espncdn.com/i/headshots/nba/players/full/2990.png
3039,NA
2767,https://a.espncdn.com/i/headshots/nba/players/full/2767.png
3013,NA
3017,NA
2215,NA
3006,https://a.espncdn.com/i/headshots/nba/players/full/3006.png
3045,https://a.espncdn.com/i/headshots/nba/players/full/3045.png
3009,https://a.espncdn.com/i/headshots/nba/players/full/3009.png
3031,https://a.espncdn.com/i/headshots/nba/players/full/3031.png
3003,https://a.espncdn.com/i/headshots/nba/players/full/3003.png
3046,https://a.espncdn.com/i/headshots/nba/players/full/3046.png
3024,https://a.espncdn.com/i/headshots/nba/players/full/3024.png
2821,https://a.espncdn.com/i/headshots/nba/players/full/2821.png
